Pitfall,Question Code,CATEGORY,Criterion Question,Response Type,Scale,No,Yes,1,2,3,4,5,How to Check / Evidence to Extract,Notes
Base Rate Fallacy,P1 -Q1,Detection Rate Context,"When reporting high TPR (“we detect 98%”), do they contextualize with FPR/base rate?",Yes/No,1/0,TPR alone without context / No contextualisation,TPR paired with realistic FPR/base-rate or precision,N/A,N/A,N/A,N/A,N/A,Text near TPR claims; look for base-rate mention,
Base Rate Fallacy,P1 -Q2,Base-Rate Discussion,Do they discuss the real base rate (prevalence) and the base-rate fallacy risk?,Ordinal,1–5,N/A,N/A,No mention of base rates or the base-rate fallacy ,"Brief or vague mention that prevalence matters, but no explanation or connection to precision or real-world interpretation.","Acknowledges that real-world base rates affect model performance and mentions the base-rate fallacy, but with limited detail or examples.","Clearly discusses how prevalence influences posterior precision or predictive value, and explicitly warns about base-rate fallacy with at least one clear example or implication.","Provides a detailed explanation of base-rate impact using quantitative reasoning (e.g., Bayes’ theorem or confusion matrix terms) / Directly illustrates the base-rate fallacy risk and connects it to real-world decision-making.",Background/results sections,
Base Rate Fallacy,P1 -Q3,Confusion Matrix,Do they provide a confusion matrix or per-class TP/FP/TN/FN (and derived rates)?,Yes/No,1/0,None provided,Confusion matrix or equivalent per-class stats present,N/A,N/A,N/A,N/A,N/A,Methods/results appendix or main text,
Base Rate Fallacy,P1 -Q4,Degree of Class Imbalance,How significant is the class imbalance reported in their work?,Ordinal,1-5,N/A,N/A,Larger class > 90,80<Larger class < 89,70 <Larger class < 79,60 <Larger class < 69,49<Larger class < 59,Dataset section ,
Base Rate Fallacy,P1 -Q5,Erroneous conclusion,Do they avoid drawing conclusions using inappropriate measures?,Yes/No,1/0,Use of inappropriate measures,No inappropriate measures used,N/A,N/A,N/A,N/A,0,Results section,"Inappropriate metrics: Accuracy, Recall (when used as the ONLY metric)"
Base Rate Fallacy,P1 -Q6,Erroneous conclusion,Which inappropriate measures are they using to draw conclusions?,Categorical,N/A,Includes but not limited to: ,"Accuracy, Recall (When used alone), Error rate",N/A,N/A,N/A,N/A,N/A,Results section,
Base Rate Fallacy,P1 -Q7,Precision,What is their precision?,Numeric,0-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Results section; Put an N/A if they do not provide precision or the TP and FP, needed to calculate it","What if multiple datasets are used??? >Separate the precisions with commas (ex: 0.3, 0.5)"
Base Rate Fallacy,P1 -Q8,Precision,How high is their precision?,Ordinal,1-5,N/A,N/A,0-10%,11-50%,51-75 %,56-94%,95-100 %,"Results section; Put an N/A if they do not provide precision or the TP and FP, needed to calculate it",
Base Rate Fallacy,P1 -Q9,Mitigation,Do they use appropriate metrics or methods to draw conclusions?,Yes/No,1/0,No appropriate measures used,Use of appropriate measures,N/A,N/A,N/A,N/A,N/A,Results section,"Appropriate metrics or methods: Precision, Recall (Paired with other metrics such as precision), ROC/AUC curves, Matthews Correlation Coefficient  (MMC), F1 score,  Bayesian Posterior Probability..."
Base Rate Fallacy,P1 -Q10,Mitigation,Which appropriate metrics or methods are they using to draw conclusions?,Categorical,N/A,Includes but not limited to: ,"Precision, F1 score, MMC, Bayesian Posterior Probability",N/A,N/A,N/A,N/A,N/A,Results section,
Inappropriate Baseline,P2 -Q1,Baseline Relevance,"Does the chosen baseline represent a current and competitive IDS model, rather than an outdated or trivial one (e.g., Naïve Bayes, Decision Tree)?",Ordinal,1–5,N/A,N/A,Outdated or trivial baseline,"Slightly outdated, limited comparison","Reasonably recent, partially justified",Recent and justified baseline,Reflects state-of-the-art with evidence,Look for model names and publication years in Methods or Related Work,
Inappropriate Baseline,P2 -Q2,Baseline Variety,Does the study compare the proposed model to multiple baselines (simple + advanced)?,Ordinal,1–5,N/A,N/A,Only one weak comparator,Two weak comparators,Two average comparators,Multiple but unbalanced,Several strong baselines covering different IDS types,Results tables; “Comparative Analysis” section,
Inappropriate Baseline,P2 -Q3,Baseline Justification,Do the authors justify why each baseline is relevant to their study or dataset?,Ordinal,1–5,N/A,N/A,No explanation,Minimal mention,Generic justification,Linked to task partially,Detailed justification aligned with context,Methods or Related Work,
