ID,Group ID,Question,Grade 1,Grade 2,Column_type,Difference,Authors,Year,Title,Venue,Pages,Publisher,DOI,Link,Type,Common Ground
1,1,P1-Q1,1.0,1.0,Yes/No,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,1.0
1,1,P1-Q10,"['Precision', 'Recall', 'F1-Score']","['Precision', 'Recall']",Categorical,Negligeable,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,"['F1-Score', 'Precision', 'Recall']"
1,1,P1-Q2,4.0,1.0,Ordinal,Extreme,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,2
1,1,P1-Q3,1.0,1.0,Yes/No,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,1.0
1,1,P1-Q4,5.0,,Ordinal,N/A,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,5.0
1,1,P1-Q5,0.0,0.0,Yes/No,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,0.0
1,1,P1-Q6,['Accuracy'],['Accuracy'],Categorical,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,['Accuracy']
1,1,P1-Q7,97.0,97.0,Numeric,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,97.0
1,1,P1-Q8,5.0,5.0,Ordinal,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,5
1,1,P1-Q9,1.0,1.0,Yes/No,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,1.0
1,1,P2-Q1,,3.0,Ordinal,N/A,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,3.0
1,1,P2-Q10,,1.0,Ordinal,N/A,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,1.0
1,1,P2-Q11,5.0,2.0,Ordinal,Extreme,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,4
1,1,P2-Q12,0.0,0.0,Yes/No,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,0.0
1,1,P2-Q13,5.0,3.0,Ordinal,Moderate,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,4
1,1,P2-Q14,1.0,1.0,Ordinal,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,1
1,1,P2-Q2,,3.0,Ordinal,N/A,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,3.0
1,1,P2-Q3,1.0,4.0,Ordinal,Extreme,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,2
1,1,P2-Q4,1.0,2.0,Ordinal,Negligeable,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,2
1,1,P2-Q5,,4.0,Ordinal,N/A,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,4.0
1,1,P2-Q6,,1.0,Ordinal,N/A,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,1.0
1,1,P2-Q7,1.0,4.0,Ordinal,Extreme,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,2
1,1,P2-Q8,,3.0,Ordinal,N/A,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,3.0
1,1,P2-Q9,1.0,2.0,Ordinal,Negligeable,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,2
1,1,P3-Q1,3.0,3.0,Ordinal,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,3
1,1,P3-Q10,4.0,4.0,Ordinal,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,4
1,1,P3-Q11,2.0,3.0,Ordinal,Negligeable,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,2
1,1,P3-Q12,1.0,1.0,Ordinal,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,1
1,1,P3-Q13,0.0,0.0,Yes/No,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,0.0
1,1,P3-Q14,0.0,0.0,Yes/No,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,0.0
1,1,P3-Q15,0.0,0.0,Yes/No,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,0.0
1,1,P3-Q16,0.0,0.0,Yes/No,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,0.0
1,1,P3-Q17,1.0,1.0,Yes/No,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,1.0
1,1,P3-Q18,0.0,0.0,Yes/No,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,0.0
1,1,P3-Q19,1.0,0.0,Yes/No,Extreme,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,0.5
1,1,P3-Q2,3.0,3.0,Ordinal,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,3
1,1,P3-Q20,,2.0,Ordinal,N/A,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,2.0
1,1,P3-Q4,1.0,1.0,Ordinal,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,1
1,1,P3-Q5,3.0,3.0,Ordinal,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,3
1,1,P3-Q6,1.0,1.0,Ordinal,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,1
1,1,P3-Q7,5.0,2.0,Ordinal,Extreme,Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,4
1,1,P3-Q8,1.0,1.0,Ordinal,None (Identical),Ali Fenjan; Mohammed Thakir Mahmood Almashhadany; Saadaldeen Rashid Ahmed; Hala Adnan Fadel; Ravi Sekhar; Pritesh Shah; B.S. Veena,2024,Adaptive Intrusion Detection System Using Deep Learning for Network Security %@ 9798400716928,Proceedings of the Cognitive Models and Artificial Intelligence Conference,279–284,Association for Computing Machinery,10.1145/3660853.3660928,https://doi-org.proxy.bib.uottawa.ca/10.1145/3660853.3660928,Conference Paper,1
