ID,Group ID,Ineligibility,P1 -Q1,P1 -Q2,P1 -Q3,P1 -Q4,P1 -Q5,P1 -Q6,P1 -Q7,P1 -Q8,P1 -Q9,P1 -Q10,P2-Q1,P2-Q2,P2-Q3,P2-Q4,P2-Q5,P2-Q6,P2-Q7,P2-Q8,P2-Q9,P2-Q10,P2-Q11,P2-Q12,P2-Q13,P2-Q14,P3-Q1,P3-Q2,P3-Q3,P3-Q4,P3-Q5,P3-Q6,P2-15,P3-Q7,P3-Q8,P3-Q9,P3-Q10,P3-Q11,P3-Q12,P3-Q13,P3-Q14,P3-Q15,P3-Q16,P3-Q17,P3-Q18,P3-Q19,P3-20,Dataset,Notes
1,1,,1,4,1,5,0,Accuracy,97,5,1,"Precison, Recall, F1-score",N/A,N/A,1,1,N/A,N/A,1,N/A,1,N/A,5,0,5,1,3,3,N/A,1,3,1,,5,1,2,4,2,1,0,0,0,0,1,0,1,,,"Puts too much emphasis on Accuracy BUT mitigates results later with PR, F1 and recall. Does not properly compare with an appropriate baseline."
2,1,,N/A,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TON_IOT,"Unlike regular studies which improve detection accuracy and reducing false positives, this one explores the rationale behind IDS engines results"
3,1,,0,1,0,N/A,0,Accuracy,N/A,N/A,0,N/A,1,4,3,5,4,1,4,3,5,1,3,0,3,1,1,1,N/A,1,1,1,1,N/A,1,1,2,1,1,0,0,0,0,0,0,0,2,Edge-IIoTset,
4,1,,1,1,1,1,0,Accuracy,98.43,5,1,"Precison, Recall, F1-score",2,4,2,5,4,5,4,4,3,5,3,0,4,2,4,3,1,1,3,2,5,2,1,2,5,5,2,1,0,0,0,0,0,1,2,,
5,1,,1,1,0,N/A,1,N/A,88,4,1,"Precison, F1-score, Recall, FNR, ER",3,4,3,2,4,3,5,4,5,4,4,0,4,4,5,4,1,1,1,1,4,5,1,5,5,5,1,0,1,0,0,0,0,1,4,,
6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,1,,0,3,1,5,0,Accuracy,99,5,1,"Recall, Precison, F1-score, Epochs, Support, Loss, OSS, SMOTE",4,4,1,5,1,1,1,1,5,1,4,0,4,1,5,3,1,2,3,1,,5,1,4,5,1,2,1,1,0,0,1,0,1,2,"NSL-KDD, UNSWNB15",
9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,0,1,0,N/A,0,Accuracy,N/A,N/A,0,"N/A, Relative Feature Importance",4,3,3,5,5,5,4,1,4,1,3,0,5,2,1,1,N/A,1,N/A,1,,N/A,1,1,1,1,1,0,0,0,0,N/A,0,0,5,UNSWNB15,
10,1,,0,3,0,N/A,0,Accuracy,N/A,N/A,1,F1-score,5,5,2,2,5,5,5,5,5,5,3,1,5,4,4,5,1,N/A,2,1,,5,1,2,3,1,2,0,0,0,0,N/A,0,0,5,NSL-KDD,
11,1,,0,2,0,N/A,1,Accuracy,99.7,5,1,"Precison, Recall, F1-score",4,5,1,5,4,5,4,5,3,2,4,0,5,1,5,4,1,1,1,1,,5,1,4,5,1,1,0,1,0,1,N/A,0,1,5,"KDD99, UNSWNB15",
12,1,,0,2,0,1,0,Accuracy,N/A,N/A,0,"N/A, Server Downtime",1,3,1,2,5,5,4,5,4,4,3,0,5,4,1,2,1,2,N/A,3,,2,1,1,2,1,3,1,0,0,0,N/A,0,0,4,KDD99,
13,1,,0,1,1,1,0,Accuracy,100,5,1,"Precison, Recall, F1-score",5,5,1,5,5,5,4,1,4,5,3,0,4,1,3,3,1,1,1,1,,5,1,2,3,1,2,1,0,0,0,0,0,1,4,UNSWNB15,
14,1,,1,1,0,1,0,Accuracy,75.78,4,1,"Recall, Precison, F1-score, Loss, Epochs, Posterior Probabilities, FPR, Specificity, Prediction time",3,5,1,2,3,1,4,3,2,3,3,0,1,1,3,1,1,1,3,2,,5,1,4,3,1,1,0,0,0,0,0,0,0,4,NSL-KDD,
15,1,,1,1,0,4,1,N/A,94.74,4,1,"Precison, Recall, F1-score, AUC curve, FPR, ROC curve, FNR, Feature Importance",5,4,4,1,5,5,5,4,5,4,4,0,5,2,4,N/A,3,1,3,4,,5,2,4,4,3,1,1,0,0,N/A,0,0,1,2,Custom,
